ID	Fare	Source	Destination	Status	Departure	Arrival	Type	Fee	Experts	Flyer
26864	$74	Amsterdam, AMS	London, LGW	Closed	23-Sep-12	(one-way)	One-Way	Finder's Fee $34	2 Experts	Aiattwood
26865	$1,721	San Francisco, SFO	Sydney, SYD	Closed	15-Dec-12	05-Jan-13	Round-Trip	Finder's Fee $49	4 Experts	Mike.stachowiak
26873	$1,438	Seattle, ALL	Kathmandu, KTM	Closed	16-Nov-12	(one-way)	One-Way	Finder's Fee $49	2 Experts	Praf
26875	$1,581	Los Angeles, LAX	Sydney, SYD	Closed	02-Nov-12	(multi-city)	Multi-City	Finder's Fee $54	5 Experts	Andresdiana
26876	$1,823	Sydney, SYD	Marseille, MRS	Closed	07-Dec-12	02-Jan-13	Round-Trip	Finder's Fee $44	4 Experts	Amayne
26878	$873	Acapulco, ACA	Calgary, YYC	Closed	01-Jan-13	07-Jan-13	Round-Trip	Finder's Fee $29	7 Experts	Gabyavi4
26890	$860	Tel Aviv, ALL	Melbourne, ALL	Closed	30-Oct-12	(one-way)	One-Way	Finder's Fee $49	2 Experts	Davidweek
26897	$406	Amsterdam, AMS	Prague, PRG	Closed	19-Oct-12	(multi-city)	Multi-City	Finder's Fee $44	3 Experts	Marina.muncescu
26904	$1,012	Norfolk, ORF	Florianópolis, FLN	Closed	02-Nov-12	13-Nov-12	Round-Trip	Finder's Fee $50	5 Experts	Clazinski
26905	$1,860	Los Angeles, LAX	Cairo, CAI	Closed	13-Dec-12	(one-way)	One-Way	Finder's Fee $59	2 Experts	Dale70
26908	$533	Bangkok, BKK	Toronto, YYZ	Closed	05-Sep-12	(one-way)	One-Way	Finder's Fee $34	2 Experts	Tedlee10
26912	$1,582	Vienna, VIE	New York, JFK	Closed	05-Sep-12	(multi-city)	Multi-City	Finder's Fee $54	3 Experts	Mm17
26916	$927	Los Angeles, LAX	Ho Chi Minh City, SGN	Closed	07-Nov-12	26-Nov-12	Round-Trip	Finder's Fee $39	9 Experts	Lfdf
26919	$1,092	London, LON	Sydney, SYD	Closed	03-Nov-12	(one-way)	One-Way	Finder's Fee $44	7 Experts	Yeuko.ogawa
26921	$529	Santiago, SCL	Cali, CLO	Closed	24-Sep-12	(one-way)	One-Way	Finder's Fee $34	2 Experts	Mikehancock3
26934	$353	Los Angeles, LAX	Chicago, ALL	Closed	20-Dec-12	(multi-city)	Multi-City	Finder's Fee $44	5 Experts	Jon.with.no.h
26936	$575	Brisbane, BNE	Wellington, WLG	Closed	28-Dec-12	(one-way)	One-Way	Finder's Fee $44	3 Experts	Stjohn.sutcliffe
26940	$1,735	Sydney, SYD	Manila, MNL	Closed	16-Sep-12	(multi-city)	Multi-City	Finder's Fee $64	3 Experts	Afarquharson
26941	$622	Bangkok, BKK	Wellington, WLG	Closed	18-Sep-12	(one-way)	One-Way	Finder's Fee $44	5 Experts	Madeleine.boud
26948	$1,089	Los Angeles, LAX	Sydney, SYD	Closed	01-Nov-12	15-Nov-12	Round-Trip	Finder's Fee $49	8 Experts	Lucillemarks
26952	$1,602	Brisbane, BNE	Los Angeles, LAX	Closed	01-May-13	(multi-city)	Multi-City	Finder's Fee $54	3 Experts	Lgill
26954	$317	Sydney, SYD	Yangon, RGN	Closed	30-Oct-12	(one-way)	One-Way	Finder's Fee $34	3 Experts	RDX
26969	$164	San Francisco, SFO	Vancouver, YVR	Closed	03-Sep-12	(one-way)	One-Way	Finder's Fee $34	5 Experts	Mgonzales.01
26984	$723	Buenos Aires, EZE	Berlin, BER	Closed	19-Sep-12	(one-way)	One-Way	Finder's Fee $100	7 Experts	Tom Yam
26990	$2,489	Denver, DEN	Athens, ATH	Closed	25-Sep-12	(one-way)	One-Way	Finder's Fee $44	3 Experts	Elaine.berman
26994	$1,660	Santiago, SCL	Melbourne, ALL	Closed	03-Sep-12	(one-way)	One-Way	Finder's Fee $54	5 Experts	Benjaminwegener
26995	$1,695	Los Angeles, LAX	Mumbai, BOM	Closed	26-Dec-12	(multi-city)	Multi-City	Finder's Fee $54	4 Experts	Kjsinnott
27000	$1,228	New York, NYC	Sydney, SYD	Closed	08-Nov-12	(one-way)	One-Way	Finder's Fee $70	6 Experts	Jolch
